#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	4	12	20	20	15
0	0	4	17	20	20	15
0	0	12	47	20	20	15
0	0	2	49	20	20	15
0	0	2	38	20	20	15
0	0	10	5	20	20	15
0	0	12	13	20	20	15
0	0	12	55	20	20	15
0	0	2	51	20	20	15
0	0	10	15	20	20	15
0	0	2	39	20	20	15
0	0	2	45	20	20	15
0	0	12	17	20	20	15
0	0	10	1	20	20	15
0	0	4	5	20	20	15
0	0	12	11	20	20	15
0	0	2	36	20	20	15
0	0	4	15	20	20	15
0	0	4	60	20	20	15
0	0	2	41	20	20	15
0	0	10	13	20	20	15
0	0	12	34	20	20	15
0	0	12	42	20	20	15
0	0	0	10	20	20	15
0	0	10	28	20	20	15
0	0	10	38	20	20	15
0	0	2	7	20	20	15
0	0	2	37	20	20	15
0	0	2	10	20	20	15
0	0	10	4	20	20	15
0	0	12	3	20	20	15
0	0	2	9	20	20	15
0	0	10	34	20	20	15
0	0	12	40	20	20	15
0	0	2	12	20	20	15
0	0	4	10	20	20	15
0	0	10	21	20	20	15
0	0	0	25	20	20	15
0	0	12	7	20	20	15
0	0	0	28	20	20	15
0	0	10	37	20	20	15
0	0	12	44	20	20	15
0	0	0	31	20	20	15
0	0	10	17	20	20	15
0	0	12	27	20	20	15
0	0	0	18	20	20	15
0	0	10	42	20	20	15
0	0	12	49	20	20	15
0	0	0	21	20	20	15
0	0	10	18	20	20	15
0	0	12	19	20	20	15
0	0	10	29	20	20	15
0	0	0	40	20	20	15
0	0	12	31	20	20	15
0	0	4	58	20	20	15
0	0	0	43	20	20	15
0	0	10	54	20	20	15
0	0	12	15	20	20	15
0	0	12	36	20	20	15
0	0	0	46	20	20	15
0	0	10	25	20	20	15
0	0	4	62	20	20	15
0	0	0	33	20	20	15
0	0	10	59	20	20	15
0	0	4	57	20	20	15
0	0	0	36	20	20	15
0	0	12	56	20	20	15
0	0	4	52	20	20	15
0	0	0	39	20	20	15
0	0	4	55	20	20	15
0	0	0	58	20	20	15
0	0	4	0	20	20	15
0	0	4	50	20	20	15
0	0	0	61	20	20	15
0	0	4	45	20	20	15
0	0	0	48	20	20	15
0	0	4	40	20	20	15
0	0	0	51	20	20	15
0	0	12	48	20	20	15
0	0	4	43	20	20	15
0	0	0	54	20	20	15
0	0	12	50	20	20	15
0	0	4	38	20	20	15
0	0	2	50	20	20	15
0	0	10	6	20	20	15
0	0	4	33	20	20	15
0	0	2	48	20	20	15
0	0	12	52	20	20	15
0	0	4	3	20	20	15
0	0	10	58	20	20	15
0	0	4	28	20	20	15
0	0	4	31	20	20	15
0	0	2	46	20	20	15
0	0	0	8	20	20	15
0	0	4	26	20	20	15
0	0	10	39	20	20	15
0	0	4	21	20	20	15
0	0	2	54	20	20	15
0	0	2	3	20	20	15
0	0	2	42	20	20	15
0	0	4	16	20	20	15
0	0	10	14	20	20	15
0	0	4	36	20	20	15
0	0	12	12	20	20	15
0	0	4	19	20	20	15
